1856,-0.379
1857,-0.462
1858,-0.416
1859,-0.225
1860,-0.372
1861,-0.404
1862,-0.527
1863,-0.273
1864,-0.474
1865,-0.267
1866,-0.223
1867,-0.291
1868,-0.225
1869,-0.305
1870,-0.296
1871,-0.351
1872,-0.266
1873,-0.327
1874,-0.376
1875,-0.424
1876,-0.452
1877,-0.211
1878,-0.057
1879,-0.287
1880,-0.296
1881,-0.246
1882,-0.262
1883,-0.318
1884,-0.349
1885,-0.35
1886,-0.254
1887,-0.343
1888,-0.311
1889,-0.2
1890,-0.413
1891,-0.353
1892,-0.407
1893,-0.449
1894,-0.414
1895,-0.362
1896,-0.199
1897,-0.186
1898,-0.339
1899,-0.25
1900,-0.192
1902,-0.349
1903,-0.445
1904,-0.443
1905,-0.371
1906,-0.292
1907,-0.505
1908,-0.477
1909,-0.447
1910,-0.442
1911,-0.465
1912,-0.406
1913,-0.393
1914,-0.248
1915,-0.159
1916,-0.373
1917,-0.495
1918,-0.41
1919,-0.292
1920,-0.293
1921,-0.217
1922,-0.323
1923,-0.299
1924,-0.347
1925,-0.246
1926,-0.116
1927,-0.218
1928,-0.227
1929,-0.361
1930,-0.152
1931,-0.099
1932,-0.137
1933,-0.239
1934,-0.139
1935,-0.172
1936,-0.121
1937,-0.024
1938,0.076
1939,-0.038
1940,-0.083
1941,0.028
1942,-0.02
1943,0.001
1944,0.158
1945,0.039
1946,-0.12
1947,-0.105
1948,-0.093
1949,-0.097
1950,-0.21
1951,-0.093
1952,-0.025
1953,0.045
1954,-0.17
1955,-0.189
1956,-0.272
1957,-0.006
1958,0.061
1959,0.014
1960,-0.028
1961,0.015
1962,0.008
1963,0.039
1964,-0.233
1965,-0.166
1966,-0.084
1967,-0.093
1968,-0.105
1969,0.04
1970,-0.031
1971,-0.187
1972,-0.041
1973,0.093
1974,-0.171
1975,-0.123
1976,-0.2
1977,0.057
1978,-0.036
1979,0.067
1980,0.102
1981,0.133
1982,0.019
1983,0.226
1984,0.031
1985,0.014
1986,0.096
1987,0.253
1988,0.24
1989,0.163
1990,0.31
1991,0.251
1992,0.116
1993,0.178
1994,0.232
1995,0.373
1996,0.227
1997,0.411
1998,0.58
1999,0.34
2000,0.291
2001,0.422
2002,0.475
2003,0.475
2004,0.455
2005,0.496
